Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds)
385,158,146,92.41%,12,0:00:31,0:02:24,0:03:40,56.96%
386,163,151,92.64%,12,0:00:28,0:02:13,0:04:53,63.75%
387,178,160,89.89%,18,0:00:35,0:02:39,0:04:41,54.49%
388,151,128,84.77%,23,0:00:35,0:02:23,0:05:38,53.38%
389,118,106,89.83%,12,0:00:33,0:02:25,0:04:32,55.17%
390,31,28,90.32%,3,0:00:40,0:02:40,0:03:12,43.33%
391,139,134,96.40%,5,0:00:31,0:02:23,0:02:50,59.42%
392,171,154,90.06%,17,0:00:27,0:02:24,0:06:28,65.66%
393,160,156,97.50%,4,0:00:27,0:02:15,0:01:47,64.56%
394,177,169,95.48%,8,0:00:29,0:02:31,0:03:40,64.37%
395,187,180,96.26%,7,0:00:26,0:02:22,0:05:56,65.59%
396,147,138,93.88%,9,0:00:26,0:02:24,0:05:19,61.38%
397,35,35,100.00%,0,0:00:08,0:02:10,0:00:47,88.57%
398,208,194,93.27%,14,0:00:35,0:02:26,0:04:26,56.93%
399,162,155,95.68%,7,0:00:19,0:02:17,0:03:43,77.99%
400,152,143,94.08%,9,0:00:22,0:02:28,0:03:41,70.00%
401,132,125,94.70%,7,0:00:26,0:02:07,0:03:52,68.94%
402,133,131,98.50%,2,0:00:12,0:02:19,0:01:19,87.12%
403,129,121,93.80%,8,0:00:33,0:02:37,0:04:01,61.42%
404,37,35,94.59%,2,0:00:19,0:02:21,0:01:32,75.68%
405,56,54,96.43%,2,0:00:13,0:02:33,0:02:13,87.27%
406,215,210,97.67%,5,0:00:12,0:01:34,0:01:42,87.74%
407,50,46,92.00%,4,0:00:14,0:02:42,0:01:13,72.00%
408,136,129,94.85%,7,0:00:22,0:02:26,0:02:30,66.42%
409,160,142,88.75%,18,0:00:35,0:02:34,0:03:10,55.92%
410,132,115,87.12%,17,0:00:36,0:02:27,0:04:35,48.84%
411,30,28,93.33%,2,0:00:47,0:02:36,0:02:22,40.00%
412,150,140,93.33%,10,0:00:29,0:02:32,0:02:11,63.09%
413,160,144,90.00%,16,0:00:46,0:02:39,0:04:25,49.68%
414,132,122,92.42%,10,0:00:37,0:02:38,0:03:51,50.00%
415,161,151,93.79%,10,0:00:28,0:02:07,0:02:50,61.39%
416,156,149,95.51%,7,0:00:22,0:02:28,0:04:11,70.32%
417,137,128,93.43%,9,0:00:31,0:02:30,0:05:04,62.69%
418,28,25,89.29%,3,0:01:00,0:02:47,0:04:46,32.14%
419,141,133,94.33%,8,0:00:33,0:02:42,0:04:38,63.31%
420,130,123,94.62%,7,0:00:32,0:02:40,0:02:20,53.49%
421,161,155,96.27%,6,0:00:27,0:02:43,0:02:43,73.58%
422,139,132,94.96%,7,0:00:28,0:02:40,0:01:51,63.31%
423,167,130,77.84%,37,0:00:29,0:02:34,0:11:56,54.60%
424,138,122,88.41%,16,0:00:35,0:02:49,0:05:30,57.78%
425,47,44,93.62%,3,0:00:26,0:03:11,0:03:29,63.04%
426,230,206,89.57%,24,0:00:38,0:02:34,0:04:35,46.72%
427,177,153,86.44%,24,0:00:30,0:02:53,0:04:28,55.49%
428,159,149,93.71%,10,0:00:33,0:02:40,0:04:32,61.04%
429,151,135,89.40%,16,0:00:36,0:02:32,0:04:41,52.74%
430,138,126,91.30%,12,0:00:34,0:02:17,0:04:10,59.70%
431,118,118,100.00%,0,0:00:26,0:02:33,0:01:38,66.10%
432,22,21,95.45%,1,0:00:42,0:02:24,0:02:56,52.38%
433,177,156,88.14%,21,0:00:42,0:02:39,0:03:16,42.37%
434,156,147,94.23%,9,0:00:29,0:02:31,0:03:41,63.64%
435,123,121,98.37%,2,0:00:26,0:02:28,0:03:29,64.23%
436,130,125,96.15%,5,0:00:26,0:02:29,0:03:28,66.93%
437,141,134,95.04%,7,0:00:39,0:02:33,0:03:08,56.43%
438,121,113,93.39%,8,0:00:38,0:02:38,0:04:18,50.83%
439,35,31,88.57%,4,0:00:34,0:02:05,0:04:29,47.06%
440,240,226,94.17%,14,0:00:36,0:02:15,0:04:06,57.02%
441,130,118,90.77%,12,0:00:32,0:02:23,0:03:40,57.81%
442,140,130,92.86%,10,0:00:29,0:02:31,0:07:35,62.32%
443,131,111,84.73%,20,0:00:38,0:03:16,0:09:59,59.69%
444,74,74,100.00%,0,0:00:13,0:02:55,0:01:53,89.19%
445,24,24,100.00%,0,0:00:12,0:02:47,0:00:57,83.33%
446,11,10,90.91%,1,0:00:13,0:02:24,0:00:55,81.82%
447,28,26,92.86%,2,0:00:10,0:02:30,0:01:26,81.48%
448,43,43,100.00%,0,0:00:08,0:02:23,0:00:52,88.37%
449,62,62,100.00%,0,0:00:17,0:02:12,0:01:26,82.26%
450,70,69,98.57%,1,0:00:22,0:02:06,0:08:40,81.43%
451,107,97,90.65%,10,0:00:21,0:02:26,0:02:40,68.87%
452,91,85,93.41%,6,0:00:30,0:02:27,0:05:49,62.64%
453,25,25,100.00%,0,0:00:11,0:02:40,0:00:55,84.00%
454,85,79,92.94%,6,0:00:24,0:02:31,0:03:07,72.29%
455,91,83,91.21%,8,0:00:26,0:02:37,0:03:40,62.64%
456,48,46,95.83%,2,0:00:11,0:02:13,0:01:22,82.98%
457,14,11,78.57%,3,0:00:18,0:02:27,0:02:45,61.54%
458,43,42,97.67%,1,0:00:22,0:02:47,0:03:15,73.81%
459,74,69,93.24%,5,0:00:23,0:02:31,0:04:48,76.71%
460,33,33,100.00%,0,0:00:14,0:02:25,0:01:29,81.82%
461,124,112,90.32%,12,0:00:26,0:02:36,0:05:30,64.75%
462,130,126,96.92%,4,0:00:25,0:02:30,0:02:58,65.89%
463,139,139,100.00%,0,0:00:18,0:02:40,0:03:03,77.54%
464,138,130,94.20%,8,0:00:26,0:02:27,0:01:52,61.48%
465,125,119,95.20%,6,0:00:22,0:02:29,0:03:40,68.00%
466,98,96,97.96%,2,0:00:20,0:02:36,0:02:53,77.32%
467,12,12,100.00%,0,0:00:18,0:03:07,0:01:36,83.33%
468,119,117,98.32%,2,0:00:18,0:02:39,0:02:43,78.15%
469,100,96,96.00%,4,0:00:21,0:02:37,0:02:45,76.00%
470,146,133,91.10%,13,0:00:31,0:02:30,0:03:40,57.75%
471,131,127,96.95%,4,0:00:22,0:02:25,0:02:28,72.66%
472,107,104,97.20%,3,0:00:08,0:02:27,0:01:36,92.45%
473,112,105,93.75%,7,0:00:24,0:02:38,0:04:28,67.27%
474,21,21,100.00%,0,0:00:32,0:02:31,0:01:25,52.38%
475,125,104,83.20%,21,0:00:37,0:02:44,0:02:45,44.63%
476,35,34,97.14%,1,0:00:24,0:02:12,0:02:16,74.29%
477,121,109,90.08%,12,0:00:38,0:02:32,0:05:21,53.78%
478,135,122,90.37%,13,0:00:32,0:02:34,0:03:08,57.58%
479,117,114,97.44%,3,0:00:22,0:02:38,0:02:27,75.86%
480,114,97,85.09%,17,0:00:39,0:02:50,0:08:16,45.13%
481,50,49,98.00%,1,0:00:35,0:02:55,0:02:22,52.00%
482,207,198,95.65%,9,0:00:16,0:02:43,0:03:51,80.49%
483,189,183,96.83%,6,0:00:21,0:02:31,0:03:58,74.19%
484,162,156,96.30%,6,0:00:24,0:02:22,0:02:08,66.46%
485,177,165,93.22%,12,0:00:26,0:02:31,0:03:50,66.47%
486,177,167,94.35%,10,0:00:23,0:02:35,0:02:45,68.97%
487,163,134,82.21%,29,0:00:38,0:02:42,0:07:16,47.20%
488,24,20,83.33%,4,0:00:26,0:03:23,0:02:16,65.22%
489,146,139,95.21%,7,0:00:18,0:02:34,0:06:21,75.86%
490,143,141,98.60%,2,0:00:22,0:02:45,0:02:45,72.03%
491,132,122,92.42%,10,0:00:31,0:02:28,0:04:36,56.49%
492,137,130,94.89%,7,0:00:26,0:02:25,0:02:06,64.44%
493,112,104,92.86%,8,0:00:43,0:02:37,0:04:07,40.91%
494,110,91,82.73%,19,0:00:50,0:02:38,0:05:12,36.70%
495,24,22,91.67%,2,0:00:32,0:02:14,0:04:46,58.33%
496,168,154,91.67%,14,0:00:36,0:02:44,0:03:52,49.40%
497,146,116,79.45%,30,0:00:42,0:02:28,0:15:00,54.93%
498,100,95,95.00%,5,0:00:31,0:02:38,0:02:53,57.00%
499,144,131,90.97%,13,0:00:26,0:02:27,0:02:37,63.57%
500,110,104,94.55%,6,0:00:24,0:02:26,0:02:22,64.22%
501,126,111,88.10%,15,0:00:31,0:02:38,0:04:36,52.80%
502,24,24,100.00%,0,0:00:48,0:02:54,0:04:44,41.67%
503,128,122,95.31%,6,0:00:35,0:02:59,0:02:42,51.56%
504,185,176,95.14%,9,0:00:27,0:02:23,0:05:05,67.93%
505,136,114,83.82%,22,0:00:57,0:02:25,0:05:31,28.79%
506,130,116,89.23%,14,0:00:44,0:02:41,0:06:00,44.44%
507,103,101,98.06%,2,0:00:18,0:02:42,0:02:23,77.45%
508,99,89,89.90%,10,0:00:20,0:02:27,0:01:30,73.68%
509,26,24,92.31%,2,0:00:23,0:02:00,0:01:53,68.00%
510,95,94,98.95%,1,0:00:21,0:02:31,0:03:34,75.53%
511,136,131,96.32%,5,0:00:17,0:02:29,0:02:21,81.06%
512,37,34,91.89%,3,0:00:41,0:02:11,0:05:46,64.86%
513,105,100,95.24%,5,0:00:22,0:02:30,0:02:12,72.28%
514,100,92,92.00%,8,0:00:30,0:02:27,0:04:35,63.27%
515,115,103,89.57%,12,0:00:44,0:02:46,0:04:35,37.17%
516,38,36,94.74%,2,0:00:39,0:02:56,0:02:54,52.63%
517,108,95,87.96%,13,0:00:26,0:02:49,0:02:46,63.81%
518,124,118,95.16%,6,0:00:23,0:02:31,0:03:01,73.77%
519,97,92,94.85%,5,0:00:25,0:02:36,0:02:23,67.71%
520,117,108,92.31%,9,0:00:37,0:01:46,0:04:03,48.67%
521,34,31,91.18%,3,0:00:27,0:02:37,0:02:32,64.71%
522,53,50,94.34%,3,0:00:28,0:02:11,0:03:16,66.04%
523,29,23,79.31%,6,0:00:42,0:02:47,0:03:40,32.14%
524,120,107,89.17%,13,0:00:34,0:02:39,0:03:21,44.07%
525,107,100,93.46%,7,0:00:33,0:02:33,0:02:08,51.43%
526,173,159,91.91%,14,0:00:47,0:02:44,0:05:30,39.41%
527,256,213,83.20%,43,0:00:44,0:02:45,0:05:18,41.70%
528,199,174,87.44%,25,0:00:36,0:02:35,0:04:35,53.06%
529,182,170,93.41%,12,0:00:40,0:02:44,0:03:27,45.81%
530,42,41,97.62%,1,0:00:42,0:02:53,0:03:40,56.10%
531,181,168,92.82%,13,0:00:34,0:02:35,0:02:43,51.69%
532,159,147,92.45%,12,0:00:30,0:02:36,0:04:39,58.71%
533,142,134,94.37%,8,0:00:26,0:02:50,0:01:50,61.87%
534,194,163,84.02%,31,0:00:30,0:02:38,0:05:31,51.04%
535,235,210,89.36%,25,0:00:38,0:02:53,0:04:35,48.90%
536,206,180,87.38%,26,0:00:51,0:02:47,0:07:03,38.61%
537,58,47,81.03%,11,0:00:48,0:02:36,0:04:35,42.11%
538,212,194,91.51%,18,0:00:38,0:02:33,0:04:21,51.20%
539,232,214,92.24%,18,0:00:34,0:02:36,0:05:30,55.90%
540,348,327,93.97%,21,0:00:32,0:02:28,0:07:20,54.62%
541,167,156,93.41%,11,0:00:32,0:02:43,0:02:57,56.79%
542,167,157,94.01%,10,0:00:27,0:02:57,0:05:19,67.48%
543,166,161,96.99%,5,0:00:21,0:02:45,0:01:32,73.33%
544,32,28,87.50%,4,0:00:22,0:02:43,0:07:35,64.52%
545,52,49,94.23%,3,0:00:32,0:02:58,0:03:02,63.46%
546,154,149,96.75%,5,0:00:26,0:02:52,0:01:50,64.90%
547,223,218,97.76%,5,0:00:18,0:02:07,0:02:00,80.09%
548,170,157,92.35%,13,0:00:17,0:03:04,0:06:25,78.44%
549,145,133,91.72%,12,0:00:26,0:02:56,0:03:39,69.23%
550,144,138,95.83%,6,0:00:17,0:02:53,0:02:45,83.80%
551,16,15,93.75%,1,0:00:17,0:03:00,0:02:45,68.75%
552,135,131,97.04%,4,0:00:20,0:02:37,0:02:00,76.12%
553,137,133,97.08%,4,0:00:24,0:02:49,0:02:46,69.12%
554,149,144,96.64%,5,0:00:17,0:02:39,0:02:02,82.76%
555,155,143,92.26%,12,0:00:16,0:02:41,0:06:25,80.14%
556,128,121,94.53%,7,0:00:19,0:02:55,0:04:35,77.78%
557,134,125,93.28%,9,0:00:21,0:02:38,0:03:18,72.52%
558,21,21,100.00%,0,0:00:23,0:02:37,0:02:50,76.19%
559,150,138,92.00%,12,0:00:30,0:02:52,0:04:16,58.67%
560,163,158,96.93%,5,0:00:14,0:02:28,0:02:01,81.99%
561,160,151,94.38%,9,0:00:12,0:02:39,0:02:57,87.18%
562,132,125,94.70%,7,0:00:30,0:02:46,0:03:47,64.62%
563,131,126,96.18%,5,0:00:17,0:02:47,0:02:35,78.29%
564,158,146,92.41%,12,0:00:21,0:02:42,0:03:40,75.32%
565,19,16,84.21%,3,0:00:51,0:02:46,0:04:14,47.37%
566,151,128,84.77%,23,0:00:52,0:02:30,0:05:38,37.93%
567,139,128,92.09%,11,0:00:32,0:02:44,0:03:34,51.80%
568,166,135,81.33%,31,0:00:41,0:02:40,0:05:09,46.50%
569,258,196,75.97%,62,0:01:10,0:02:30,0:07:51,24.29%
570,203,176,86.70%,27,0:00:40,0:02:30,0:09:09,44.78%
571,182,162,89.01%,20,0:00:25,0:02:48,0:03:40,59.43%
572,18,17,94.44%,1,0:00:55,0:04:01,0:05:46,50.00%
573,215,170,79.07%,45,0:00:55,0:02:49,0:07:26,43.06%
574,209,203,97.13%,6,0:00:25,0:02:42,0:03:40,74.88%
575,140,134,95.71%,6,0:00:20,0:02:59,0:03:21,76.26%
576,124,110,88.71%,14,0:00:15,0:02:56,0:08:16,81.82%
577,179,163,91.06%,16,0:00:23,0:02:44,0:04:17,71.59%
578,163,161,98.77%,2,0:00:10,0:02:40,0:01:51,94.41%
579,27,27,100.00%,0,0:00:05,0:02:48,0:00:19,100.00%
580,182,175,96.15%,7,0:00:19,0:02:38,0:03:08,79.89%
581,164,159,96.95%,5,0:00:11,0:02:23,0:06:28,90.18%
582,160,159,99.38%,1,0:00:05,0:02:40,0:00:58,98.74%
583,174,155,89.08%,19,0:00:16,0:02:41,0:06:39,77.06%
584,235,230,97.87%,5,0:00:05,0:02:27,0:01:50,95.74%
585,175,174,99.43%,1,0:00:04,0:02:26,0:01:53,98.86%
586,25,25,100.00%,0,0:00:04,0:03:15,0:00:55,96.00%
587,170,167,98.24%,3,0:00:06,0:02:35,0:03:40,94.08%
588,187,168,89.84%,19,0:00:26,0:02:20,0:04:49,70.43%
589,53,51,96.23%,2,0:00:06,0:02:29,0:01:50,88.68%
590,121,117,96.69%,4,0:00:13,0:02:36,0:02:41,85.83%
591,143,139,97.20%,4,0:00:05,0:02:26,0:01:56,94.41%
592,100,96,96.00%,4,0:00:06,0:02:28,0:01:50,91.92%
593,17,17,100.00%,0,0:00:08,0:02:55,0:00:59,88.24%
594,113,110,97.35%,3,0:00:08,0:02:33,0:01:18,90.18%
595,139,128,92.09%,11,0:00:13,0:02:38,0:03:40,82.01%
596,135,134,99.26%,1,0:00:04,0:02:34,0:01:50,98.52%
597,29,29,100.00%,0,0:00:15,0:03:13,0:01:29,79.31%
598,120,116,96.67%,4,0:00:05,0:02:43,0:02:45,95.83%
599,115,108,93.91%,7,0:00:09,0:02:50,0:04:25,88.70%
600,14,14,100.00%,0,0:00:14,0:02:17,0:01:14,78.57%
601,107,104,97.20%,3,0:00:07,0:02:29,0:00:58,90.57%
602,137,128,93.43%,9,0:00:10,0:02:30,0:02:03,85.29%
603,106,105,99.06%,1,0:00:11,0:02:47,0:01:53,85.85%
604,116,108,93.10%,8,0:00:19,0:02:26,0:02:33,84.07%
605,120,117,97.50%,3,0:00:09,0:02:37,0:01:05,90.76%
606,123,121,98.37%,2,0:00:07,0:02:27,0:01:55,91.06%
607,31,31,100.00%,0,0:00:03,0:02:18,0:00:03,100.00%
608,140,139,99.29%,1,0:00:08,0:02:39,0:01:11,92.14%
609,168,161,95.83%,7,0:00:18,0:02:24,0:02:24,73.65%
610,146,144,98.63%,2,0:00:06,0:02:38,0:00:58,94.48%
611,110,106,96.36%,4,0:00:15,0:02:50,0:02:30,80.00%
612,342,333,97.37%,9,0:00:15,0:02:10,0:02:39,81.42%
613,190,183,96.32%,7,0:00:16,0:02:32,0:01:59,78.95%
614,25,24,96.00%,1,0:00:06,0:02:22,0:00:48,91.67%
615,169,162,95.86%,7,0:00:09,0:02:31,0:04:36,89.16%
616,130,129,99.23%,1,0:00:11,0:02:30,0:01:52,86.92%
617,22,20,90.91%,2,0:00:09,0:03:15,0:01:50,90.48%
618,5,5,100.00%,0,0:00:28,0:02:25,0:01:14,60.00%
619,119,115,96.64%,4,0:00:11,0:02:28,0:01:50,86.44%
620,140,138,98.57%,2,0:00:09,0:02:17,0:02:11,92.14%
621,22,22,100.00%,0,0:00:06,0:02:21,0:00:48,90.91%
622,126,124,98.41%,2,0:00:08,0:02:35,0:00:58,94.40%
623,122,111,90.98%,11,0:00:13,0:02:43,0:02:13,77.69%
624,113,108,95.58%,5,0:00:13,0:02:31,0:01:27,82.88%
625,119,109,91.60%,10,0:00:17,0:02:36,0:05:15,83.62%
626,134,119,88.81%,15,0:00:24,0:02:46,0:02:45,63.43%
627,101,97,96.04%,4,0:00:16,0:02:33,0:01:38,77.00%
628,20,20,100.00%,0,0:00:04,0:02:24,0:00:18,100.00%
629,169,162,95.86%,7,0:00:17,0:02:32,0:05:31,80.12%
630,137,133,97.08%,4,0:00:29,0:02:37,0:02:42,62.04%
631,133,127,95.49%,6,0:00:18,0:02:39,0:04:36,81.95%
632,184,179,97.28%,5,0:00:10,0:02:03,0:02:44,90.56%
633,145,135,93.10%,10,0:00:21,0:02:35,0:03:10,74.13%
634,114,108,94.74%,6,0:00:14,0:02:31,0:02:33,82.88%
635,24,23,95.83%,1,0:00:05,0:02:12,0:00:55,95.83%
636,143,136,95.10%,7,0:00:09,0:02:32,0:05:30,84.51%
637,119,114,95.80%,5,0:00:08,0:02:22,0:01:19,90.60%
638,123,118,95.93%,5,0:00:21,0:02:46,0:02:44,70.73%
639,145,141,97.24%,4,0:00:14,0:02:36,0:01:50,83.33%
640,108,106,98.15%,2,0:00:26,0:02:50,0:04:57,68.22%
641,128,125,97.66%,3,0:00:13,0:02:45,0:01:42,82.68%
642,27,26,96.30%,1,0:00:20,0:02:51,0:02:40,84.62%
643,155,151,97.42%,4,0:00:11,0:02:32,0:02:18,89.61%
644,116,110,94.83%,6,0:00:18,0:02:23,0:02:47,75.00%
645,117,111,94.87%,6,0:00:18,0:02:43,0:02:06,76.52%
646,113,105,92.92%,8,0:00:31,0:02:37,0:03:40,53.98%
647,107,101,94.39%,6,0:00:23,0:02:44,0:03:11,73.58%
648,146,141,96.58%,5,0:00:25,0:02:22,0:02:46,65.75%
649,29,26,89.66%,3,0:00:09,0:02:37,0:01:50,85.71%
650,231,228,98.70%,3,0:00:15,0:02:09,0:03:26,81.39%
651,239,215,89.96%,24,0:00:23,0:02:36,0:04:35,66.67%
652,174,154,88.51%,20,0:00:29,0:02:40,0:05:08,61.31%
653,168,163,97.02%,5,0:00:21,0:02:49,0:02:45,70.66%
654,135,128,94.81%,7,0:00:18,0:02:36,0:05:30,72.59%
655,122,113,92.62%,9,0:00:30,0:02:49,0:03:40,61.16%
656,13,12,92.31%,1,0:00:24,0:02:45,0:01:12,66.67%
657,20,18,90.00%,2,0:00:23,0:02:43,0:02:44,73.68%
658,152,141,92.76%,11,0:00:22,0:02:41,0:04:29,70.00%
659,132,131,99.24%,1,0:00:12,0:02:39,0:02:00,87.02%
660,180,171,95.00%,9,0:00:21,0:02:51,0:02:39,71.91%
661,193,189,97.93%,4,0:00:13,0:02:35,0:02:26,82.90%
662,245,236,96.33%,9,0:00:13,0:02:44,0:02:20,82.79%
663,35,34,97.14%,1,0:00:11,0:02:11,0:01:44,88.24%
664,198,190,95.96%,8,0:00:12,0:02:38,0:01:22,84.69%
665,47,47,100.00%,0,0:00:06,0:02:09,0:00:57,93.62%
666,187,186,99.47%,1,0:00:07,0:02:30,0:02:45,93.58%
667,57,54,94.74%,3,0:00:07,0:02:37,0:00:55,91.07%
668,169,162,95.86%,7,0:00:09,0:02:39,0:01:50,88.17%
669,337,316,93.77%,21,0:00:23,0:02:13,0:05:17,72.92%
670,44,43,97.73%,1,0:00:09,0:02:35,0:01:50,84.09%
671,210,206,98.10%,4,0:00:12,0:02:39,0:02:32,87.08%
672,190,186,97.89%,4,0:00:17,0:02:22,0:04:53,84.13%
673,190,182,95.79%,8,0:00:10,0:02:40,0:01:38,87.03%
674,169,168,99.41%,1,0:00:11,0:02:25,0:01:48,88.17%
675,52,50,96.15%,2,0:00:06,0:02:34,0:00:58,92.16%
676,144,137,95.14%,7,0:00:14,0:02:36,0:02:56,77.08%
677,36,36,100.00%,0,0:00:15,0:02:53,0:01:41,80.56%
678,155,148,95.48%,7,0:00:14,0:02:26,0:03:23,81.29%
679,159,154,96.86%,5,0:00:16,0:02:41,0:02:12,78.62%
680,115,110,95.65%,5,0:00:14,0:02:28,0:02:17,83.19%
681,186,173,93.01%,13,0:00:19,0:02:39,0:02:44,73.51%
682,167,157,94.01%,10,0:00:23,0:02:32,0:02:49,67.68%
683,146,142,97.26%,4,0:00:22,0:02:42,0:01:59,66.90%
684,41,31,75.61%,10,0:00:39,0:03:43,0:03:40,48.78%
685,185,85,45.95%,100,0:01:49,0:02:46,0:11:01,3.80%
686,149,83,55.70%,66,0:01:38,0:02:18,0:10:06,4.83%
687,180,115,63.89%,65,0:01:04,0:02:33,0:12:50,23.86%
688,173,144,83.24%,29,0:00:38,0:03:00,0:05:32,46.47%
689,176,158,89.77%,18,0:00:20,0:02:33,0:05:15,70.35%
690,147,120,81.63%,27,0:00:46,0:02:39,0:04:16,39.73%
691,84,77,91.67%,7,0:00:17,0:02:07,0:04:30,73.49%
692,325,78,24.00%,247,0:03:13,0:03:01,0:17:27,0.00%
693,441,103,23.36%,338,0:04:04,0:02:43,0:15:38,0.23%
694,525,116,22.10%,409,0:05:08,0:03:08,0:22:56,0.00%
695,610,201,32.95%,409,0:03:13,0:02:52,0:19:15,3.52%
696,427,282,66.04%,145,0:01:02,0:02:49,0:14:42,24.88%
697,378,331,87.57%,47,0:00:43,0:02:37,0:05:30,40.33%
698,80,67,83.75%,13,0:00:38,0:03:12,0:05:30,46.25%
699,356,320,89.89%,36,0:00:34,0:02:52,0:05:30,52.56%
700,409,355,86.80%,54,0:00:44,0:02:55,0:04:21,39.70%
701,352,302,85.80%,50,0:00:41,0:03:03,0:05:49,47.40%
702,282,239,84.75%,43,0:00:39,0:03:06,0:08:26,51.07%
703,429,390,90.91%,39,0:00:38,0:02:41,0:03:40,44.66%
704,310,285,91.94%,25,0:00:33,0:02:45,0:04:12,56.11%
705,102,94,92.16%,8,0:00:29,0:02:40,0:02:48,63.73%
706,335,297,88.66%,38,0:00:39,0:02:33,0:03:42,43.64%
707,313,291,92.97%,22,0:00:26,0:02:25,0:03:42,64.29%
708,251,240,95.62%,11,0:00:24,0:02:42,0:02:45,67.20%
709,190,176,92.63%,14,0:00:24,0:02:31,0:03:53,67.72%
710,188,170,90.43%,18,0:00:34,0:02:49,0:06:25,53.23%
711,166,160,96.39%,6,0:00:15,0:02:40,0:02:45,81.82%
712,73,68,93.15%,5,0:00:15,0:02:13,0:02:28,78.87%
713,170,159,93.53%,11,0:00:20,0:02:40,0:04:51,73.21%
714,188,181,96.28%,7,0:00:23,0:02:39,0:03:01,68.28%
715,306,262,85.62%,44,0:00:44,0:02:48,0:07:37,46.33%
716,201,185,92.04%,16,0:00:23,0:02:38,0:02:46,67.34%
717,188,184,97.87%,4,0:00:17,0:02:36,0:02:22,79.26%
718,148,131,88.51%,17,0:00:31,0:02:51,0:03:36,53.06%
719,21,17,80.95%,4,0:00:52,0:03:29,0:11:00,52.38%
720,148,129,87.16%,19,0:00:40,0:03:01,0:06:56,45.52%
721,167,154,92.22%,13,0:00:17,0:02:43,0:02:49,73.49%
722,169,158,93.49%,11,0:00:16,0:02:36,0:01:44,75.00%
723,175,163,93.14%,12,0:00:22,0:02:37,0:02:18,71.10%
724,193,183,94.82%,10,0:00:16,0:02:49,0:02:48,80.21%
725,154,144,93.51%,10,0:00:20,0:02:41,0:02:54,73.51%
726,35,34,97.14%,1,0:00:14,0:03:06,0:00:58,77.14%
727,172,161,93.60%,11,0:00:20,0:02:48,0:02:32,72.09%
728,195,182,93.33%,13,0:00:24,0:02:51,0:03:10,66.84%
729,163,157,96.32%,6,0:00:17,0:02:46,0:05:33,82.21%
730,134,126,94.03%,8,0:00:30,0:02:58,0:04:59,63.57%
731,158,142,89.87%,16,0:00:25,0:02:45,0:02:56,59.35%
732,161,144,89.44%,17,0:00:34,0:02:49,0:05:00,53.13%
733,36,34,94.44%,2,0:00:20,0:02:05,0:01:57,72.22%
734,147,136,92.52%,11,0:00:17,0:02:55,0:03:15,76.71%
735,131,130,99.24%,1,0:00:18,0:02:47,0:03:18,76.92%
736,128,120,93.75%,8,0:00:22,0:02:47,0:01:54,68.25%
737,136,119,87.50%,17,0:00:26,0:02:52,0:04:35,60.15%
738,225,209,92.89%,16,0:00:19,0:02:29,0:04:06,76.02%
739,167,151,90.42%,16,0:00:19,0:02:27,0:02:44,73.33%
740,48,46,95.83%,2,0:00:16,0:02:26,0:02:38,78.72%
741,232,204,87.93%,28,0:00:32,0:02:22,0:03:56,55.41%
742,198,187,94.44%,11,0:00:27,0:02:48,0:03:13,60.20%
743,171,163,95.32%,8,0:00:19,0:02:41,0:02:48,69.41%
744,180,173,96.11%,7,0:00:31,0:02:49,0:08:13,72.22%
745,192,175,91.15%,17,0:00:26,0:03:01,0:03:40,61.58%
746,194,180,92.78%,14,0:00:25,0:02:50,0:04:03,68.39%
747,37,27,72.97%,10,0:00:35,0:02:53,0:02:58,50.00%
748,180,169,93.89%,11,0:00:23,0:02:44,0:02:05,67.98%
749,213,198,92.96%,15,0:00:16,0:02:47,0:06:21,77.25%
750,251,239,95.22%,12,0:00:21,0:02:18,0:02:48,71.77%
751,200,189,94.50%,11,0:00:19,0:02:53,0:04:36,76.26%
752,214,205,95.79%,9,0:00:25,0:02:48,0:07:17,71.96%
753,185,154,83.24%,31,0:00:47,0:02:56,0:03:16,35.91%
754,49,46,93.88%,3,0:00:38,0:02:21,0:02:16,52.08%
755,193,185,95.85%,8,0:00:21,0:02:51,0:03:57,75.79%
756,195,184,94.36%,11,0:00:22,0:02:39,0:02:38,70.00%
757,211,195,92.42%,16,0:00:34,0:02:51,0:04:31,56.94%
758,200,190,95.00%,10,0:00:15,0:02:56,0:03:06,80.93%
759,48,47,97.92%,1,0:00:15,0:03:13,0:02:58,81.25%
760,164,159,96.95%,5,0:00:20,0:02:51,0:04:47,77.78%
761,43,42,97.67%,1,0:00:14,0:02:32,0:02:34,83.72%
762,236,223,94.49%,13,0:00:26,0:02:46,0:03:38,64.83%
763,270,262,97.04%,8,0:00:15,0:02:36,0:02:08,83.21%
764,304,262,86.18%,42,0:00:34,0:02:56,0:07:01,56.62%
765,286,270,94.41%,16,0:00:20,0:02:48,0:03:06,71.48%
766,317,284,89.59%,33,0:00:30,0:02:48,0:08:16,66.03%
767,471,396,84.08%,75,0:00:59,0:02:41,0:05:29,30.80%
768,48,44,91.67%,4,0:00:29,0:02:31,0:03:07,65.96%
769,375,317,84.53%,58,0:00:43,0:02:52,0:05:06,40.87%
770,327,309,94.50%,18,0:00:22,0:02:48,0:03:46,68.21%
